siteid,eventid,individualid,growthform,stemdiameter,basalstemdiametermeasurementheight,maxcrowndiameter,vdapexbreakheight,maxbasecrowndiameter,samplingprotocolversion,plotid,tagid,plantstatus,measurementheight,vdapexheight,ninetycrowndiameter,vdbasebreakheight,ninetybasecrowndiameter,remarks,date,domainid,subplotid,nestedsubplotid,tagstatus,shape,basalstemdiameter,vdbaseheight,canopyposition,breakdiameter,basecrownheight,dataqf,plotType,subtype
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03577,sap,NA,10,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3577,8,NA,0.6,NA,NA,NA,dead; tag removed,2016-09-12T00:00:00.000Z,D03,21,TRUE,untagged,NA,2.7,0,NA,NA,NA,10,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03521,sbt,15,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3521,8,130,6.8,NA,NA,NA,CDW qualifier; fallen to ground,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,0,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.00004,sap,NA,10,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,4,8,NA,0.7,NA,NA,NA,dead,2016-09-12T00:00:00.000Z,D03,21,TRUE,untagged,NA,1.4,0,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03500,sbt,20.4,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3500,1,130,12.8,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-0.8,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03520,sbt,22.1,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3520,1,130,7.5,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-1.1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03519,sbt,16.6,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3519,1,130,6.7,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03518,sbt,16,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3518,1,130,6,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03517,sbt,14.2,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3517,1,130,12,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03591,sbt,13.3,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3591,1,130,10.7,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03592,sbt,17.7,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3592,1,170,8.3,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-1.3,NA,NA,NA,NA,tower,basePlot
